pin_code,state,district,n_era5_cells,polygon_source,data_quality,hot_days_pct,warm_nights_pct,xhot_days_pct,heat_index_pct,hwdi_pct,trend_cdecade,hot_days_pct_norm,warm_nights_pct_norm,xhot_days_pct_norm,heat_index_pct_norm,hwdi_pct_norm,trend_cdecade_norm,heat_score,risk_level
606304,Tamil Nadu,Cuddalore,4,actual_polygon,high,22.31544828414917,56.77593994140625,0.1173687018454074,15.48640203475952,8.393212795257568,-0.1692850217223167,40.7418,61.1832,0.5223,49.9775,70.394,5.4702,51.92,Moderate
606305,Tamil Nadu,Kallakurichi,4,actual_polygon,high,22.01043128967285,56.680274963378906,0.12714808806777,15.895114660263062,8.563419103622437,-0.1538598798215389,40.1849,61.0802,0.5659,51.2965,71.8221,7.3077,53.25,Moderate
606401,Tamil Nadu,Kallakurichi,6,actual_polygon,high,6.999632398287456,25.71709219614665,0.005214961245656,3.226442698389292,8.852843125661215,-0.1083356775343418,12.7794,27.7134,0.0232,10.4123,74.2504,12.7307,29.98,Very Low
606402,Tamil Nadu,Kallakurichi,5,actual_polygon,high,11.75540895462036,37.80212936401367,0.0312983207404613,6.783291792869568,8.672662925720214,-0.1299006924033165,21.4621,40.7366,0.1393,21.891,72.7386,10.1618,37.03,Low
606601,Tamil Nadu,Tiruvannamalai,3,actual_polygon,medium,18.025563557942707,52.577667236328125,0.0234619788825511,9.412609100341797,8.575027783711752,-0.0850606287519137,32.9097,56.6591,0.1044,30.3763,71.9195,15.5033,48.29,Moderate
606603,Tamil Nadu,Tiruvannamalai,3,actual_polygon,medium,18.57317543029785,52.83072916666666,0.0364940352737903,10.030619939168297,8.525573094685873,-0.0919310922423998,33.9095,56.9318,0.1624,32.3707,71.5045,14.6849,48.69,Moderate
606604,Tamil Nadu,Tiruvannamalai,4,actual_polygon,high,18.19505834579468,52.44408226013184,0.0293274736031889,9.910654306411743,8.55875563621521,-0.0869079139083623,33.2191,56.5151,0.1305,31.9836,71.7829,15.2832,48.62,Moderate
606611,Tamil Nadu,Tiruvannamalai,4,actual_polygon,high,16.935511589050293,52.60616970062256,0.0117309894412755,9.048110008239746,8.504154205322266,-0.092079397290945,30.9195,56.6898,0.0522,29.2,71.3248,14.6672,46.96,Moderate
606701,Tamil Nadu,Tiruvannamalai,4,actual_polygon,high,4.974580734968185,16.11059868335724,0.0,1.7283533290028572,9.295958042144775,-0.0732500534504652,9.0822,17.3612,0.0,5.5777,77.9682,16.9102,27.87,Very Low
606702,Tamil Nadu,Tiruvannamalai,9,actual_polygon,high,4.516738315423329,15.905859417385525,0.0017395085758633,2.1482314417759576,9.550464312235514,-0.070151310827997,8.2463,17.1406,0.0077,6.9327,80.1036,17.2793,28.65,Very Low
606703,Tamil Nadu,Tiruvannamalai,7,actual_polygon,high,11.081406933920723,32.95108141217913,0.0055760012141295,4.719637155532837,8.87737764630999,-0.0772245866911751,20.2316,35.5089,0.0248,15.2312,74.4562,16.4367,36.76,Low
606704,Tamil Nadu,Tiruvannamalai,4,actual_polygon,high,14.1582670211792,42.63105010986328,0.0195587780326604,8.684450507164001,8.98323130607605,-0.0946783814579248,25.8491,45.9403,0.087,28.0264,75.3444,14.3576,43.51,Low
606705,Tamil Nadu,Tiruvannamalai,5,actual_polygon,high,13.33522834777832,40.151733779907225,0.0156470224261283,7.792247295379639,8.955810546875,-0.0920478105545044,24.3464,43.2686,0.0696,25.1471,75.1143,14.671,41.78,Low
606706,Tamil Nadu,Tiruvannamalai,4,actual_polygon,high,18.2380793094635,51.74419116973877,0.0391015158966183,10.36827564239502,8.53927206993103,-0.0929714180529117,33.2977,55.7609,0.174,33.4604,71.6195,14.5609,48.49,Moderate
606707,Tamil Nadu,Tiruvannamalai,3,actual_polygon,medium,17.616137822469074,51.07347997029623,0.0312755095462004,9.21699301401774,8.382099469502768,-0.1074733038743337,32.1622,55.0381,0.1392,29.745,70.3007,12.8334,45.98,Moderate
606708,Tamil Nadu,Tiruvannamalai,9,actual_polygon,high,12.083650403552586,38.91660764482286,0.0112901714940865,5.952396260367499,8.65073691474067,-0.1060771635837025,22.0614,41.9376,0.0502,19.2095,72.5547,12.9997,37.95,Low
606709,Tamil Nadu,Tiruvannamalai,7,actual_polygon,high,13.298782621111188,40.9926643371582,0.0122824790222304,6.683134896414621,8.74796267918178,-0.0922516722764287,24.2799,44.1748,0.0547,21.5677,73.3704,14.6467,40.61,Low
606710,Tamil Nadu,Tiruvannamalai,6,actual_polygon,high,17.215893586476643,50.9470017751058,0.0338883368919293,9.489536046981812,8.435625235239664,-0.1124507760008176,31.4314,54.9018,0.1508,30.6245,70.7498,12.2405,45.84,Moderate
606751,Tamil Nadu,Tiruvannamalai,4,actual_polygon,high,14.889683961868286,47.144225120544434,0.0136932833120226,11.035303592681885,9.129938840866089,-0.0987435858696699,27.1844,50.8039,0.0609,35.613,76.5753,13.8733,47.15,Moderate
606752,Tamil Nadu,Tiruvannamalai,4,actual_polygon,high,16.378081560134888,51.55004978179932,0.0136879365891218,10.569689512252808,8.809053182601929,-0.0860280580818653,29.9018,55.5517,0.0609,34.1104,73.883,15.388,48.64,Moderate
606753,Tamil Nadu,Tiruvannamalai,6,actual_polygon,high,18.953955332438152,54.76020622253418,0.049543914074699,11.050206661224363,8.524350643157959,-0.1081759855151176,34.6047,59.011,0.2205,35.6611,71.4943,12.7497,49.43,Moderate
606754,Tamil Nadu,Tiruvannamalai,3,actual_polygon,medium,17.59267743428548,55.2918332417806,0.0339204172293345,10.304234504699709,8.330392201741537,-0.1306388874848683,32.1193,59.5839,0.151,33.2537,69.8669,10.0739,46.74,Moderate
