pin_code,state,district,raw_ltm_rainfall_mm,raw_cdd_p90_days,raw_deficit_freq_pct,raw_trend_mm_per_decade,trend_direction,trend_significant,mk_pval,data_source,nn_pincodes_used,nn_max_dist_km,pet_mm,aridity_index,chirps_ltm_mm,chirps_deficit_pct,chirps_monsoon_conc,chirps_trend_mm_yr,chirps_trend_pval,norm_aridity_index,norm_ltm_rainfall,norm_deficit_freq,norm_cdd_p90,norm_monsoon_conc,norm_trend,drought_score,risk_level
110087,Delhi,West,699.9,74.0,22.73,43.92,Strong Wetting,False,0.0702,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,25.84,78.47,50.0,66.99,Very High
110088,Delhi,North,727.7,77.6,22.16,41.86,Strong Wetting,False,0.09,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.64,78.47,50.0,67.41,Very High
110089,Delhi,North West,710.0,75.7,22.73,41.18,Strong Wetting,False,0.1078,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.16,78.47,50.0,67.18,Very High
110090,Delhi,North East,771.7,77.5,18.94,39.87,Strong Wetting,False,0.1392,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.56,78.47,50.0,67.39,Very High
110091,Delhi,East,793.0,74.7,21.59,39.31,Strong Wetting,False,0.0979,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,26.38,78.47,50.0,67.07,Very High
110092,Delhi,East,794.1,74.7,22.16,37.61,Strong Wetting,False,0.1409,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,26.38,78.47,50.0,67.07,Very High
110093,Delhi,North East,786.9,76.7,18.75,38.12,Strong Wetting,False,0.1396,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.94,78.47,50.0,67.3,Very High
110094,Delhi,North East,768.5,77.4,19.74,41.86,Strong Wetting,False,0.1181,nearest_neighbour,"[110090, 110084, 110054]",5.7,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,28.48,78.47,50.0,67.38,Very High
110095,Delhi,Shahdara,791.6,76.4,21.59,34.46,Strong Wetting,False,0.1666,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.7,78.47,50.0,67.27,Very High
110096,Delhi,East,795.0,75.7,21.21,38.32,Strong Wetting,False,0.096,polygon_zonal_stats,,,1721,0.4133,711.34,24.837,83.428,3.4955,0.152,91.87,87.19,79.87,27.16,78.47,50.0,67.18,Very High
